Type,Lat,Long,Street Name,SpeedhumpType,InstallDate
Speed Bump,41.75263128270,-72.67649169790,Morris Street ,O,Several years ago
Speed Bump,41.75183570750,-72.67706665880,Dean Street,O,Several years ago
Speed Bump,41.75153503390,-72.67621582470,Alden Street,O,Several years ago
Speed Bump,41.75173366110,-72.67496672710,Alden Street,O,Several years ago
Speed Bump,41.74570179930,-72.69472834300,Allendale Rd,O,Several years ago
Speed Bump,41.74558195500,-72.69620329870,Allendale Rd,O,Several years ago
Speed Bump,41.74546164240,-72.69770556710,Allendale Rd,O,Several years ago
Speed Bump,41.74653514830,-72.69470385050,Catherine Street,O,Several years ago
Speed Bump,41.74644213490,-72.69629517750,Catherine Street,O,Several years ago
Speed Bump,41.74635600730,-72.69774814330,Catherine Street,O,Several years ago
Speed Bump,41.77545672220,-72.70928937020,Kenyon Street,O,Several years ago
Speed Bump,41.77427616670,-72.70985886360,Kenyon Street,O,Several years ago
Speed Bump,41.79584019050,-72.68154053010,Waverly Street,O,Several years ago
Speed Bump,41.79858865470,-72.68090917540,Waverly Street,O,Several years ago
Speed Bump,41.79707190260,-72.68123228080,Waverly Street,O,Several years ago
Speed Bump,41.79530481550,-72.68161392820,Waverly Street,O,Several years ago
Speed Bump,41.79852104300,-72.66648619170,Rosemont Street,O,Several years ago
Speed Bump,41.79816820710,-72.66367358580,Rosemont Street,O,Several years ago
Speed Bump,41.73914777680,-72.67885606130,Preston Street,O,Several years ago
Speed Bump,41.74527204170,-72.70350079160,Westbrook Street,O,Several years ago
Speed Bump,41.74743704240,-72.70399948100,Westbrook Street,O,Several years ago
Speed Bump,41.74785407140,-72.70303833450,Saybrooke Street,O,Several years ago
Speed Bump,41.74701566990,-72.70285120670,Saybrooke Street,O,Several years ago
Speed Bump,41.76299659520,-72.71442231380,Beacon  Street,O,Several years ago
Speed Bump,41.76395248920,-72.71456272190,Beacon  Street,O,Several years ago
Speed Bump,41.76492303960,-72.71341437730,Oxford Street,O,Several years ago
Speed Bump,41.76356665070,-72.71321682880,Oxford Street,O,Several years ago
Speed Bump,41.76349994500,-72.71191723640,Tremont Street,O,Several years ago
Speed Bump,41.76515147630,-72.71216032580,Tremont Street,O,Several years ago
Speed Bump,41.79346054490,-72.67281844680,Hampton Street,O,Several years ago
Speed Bump,41.79445328570,-72.67217057380,Hampton Street,O,Several years ago
Speed Bump,41.79285140810,-72.67491936310,Kensington Street,O,Several years ago
Speed Bump,41.78914617420,-72.68003552540,Martin Street,O,Several years ago
Speed Bump,41.74276195230,-72.70153867590,Broadview Terrance ,O,Several years ago
Speed Bump,41.74190968790,-72.70102143220,Broadview Terrance ,O,Several years ago
Speed Bump,41.72482631950,-72.71147439170,Marion Street,O,Several years ago
Speed Bump,41.72477645980,-72.71338653890,Marion Street,O,Several years ago
Speed Bump,41.76967273670,-72.69643640280,Niles Street,O,Several years ago
Speed Bump,41.73961348200,-72.68056116020,Otis Street,O,Several years ago
Speed Bump,41.73985804890,-72.67854734280,Otis Street,O,Several years ago
Speed Bump,41.79781162660,-72.69010014830,Coventry ,O,Several years ago
Speed Bump,41.75795719420,-72.69856376650,Conventry,O,Several years ago
Speed Bump,41.73850714570,-72.65392475550,Murphy Rd,O,Several years ago
Speed Bump,41.72929876670,-72.68374289920,Goodwin Park Rd,O,Several years ago
Speed Bump,41.73263858780,-72.68530066890,Goodwin Park Rd,O,Several years ago
Speed Bump,41.79933377180,-72.69009011080,Goodwin Park Rd,O,Several years ago
Speed Bump,41.77805110060,-72.71164084990,Terry Rd,O,Several years ago
Speed Bump,41.77945367420,-72.71148470920,Terry Rd,O,Several years ago
Speed Bump,41.78019689070,-72.71141806860,Terry Rd,O,Several years ago
Speed Bump,41.73117441250,-72.68379928340,Goodwin Park Rd,O,Several years ago
Speed Bump,41.75022666950,-72.66613808520,Wawarme  Ave,O,Several years ago
Speed Bump,41.74986463800,-72.66965284250,Wawarme  Ave,O,Several years ago
Speed Bump,41.75002159090,-72.66784263780,Wawarme  Ave,O,Several years ago
Speed Bump,41.74176125710,-72.67770307570,Adelaide Street,O,Several years ago
Speed Bump,41.74128543730,-72.68085667860,Adelaide Street,O,Several years ago
Speed Bump,41.74388743590,-72.67393971320,Barker Street,O,Several years ago
Speed Bump,41.73443740260,-72.70477432000,Broadview Terrance ,O,Several years ago
Speed Bump,41.73603539580,-72.70180379410,Broadview Terrance ,O,Several years ago
Speed Bump,41.75757013570,-72.67343203710, Charter Oak Pl,O,Several years ago
Speed Bump,41.73210543470,-72.69334287020,Freeman Street,O,Several years ago
Speed Bump,41.73187360320,-72.69515569720,Freeman Street,O,Several years ago
Speed Bump,41.73282307810,-72.68253717240,"Hubbard Rd,",O,Several years ago
Speed Bump,41.73017922330,-72.68227494390,"Hubbard Rd,",O,Several years ago
Speed Bump,41.72800333790,-72.68192392020,"Hubbard Rd,",O,Several years ago
Speed Bump,41.73280086510,-72.69557497630,Linnmore Street,O,Several years ago
Speed Bump,41.73242529360,-72.69819484610,Linnmore Street,O,Several years ago
Speed Bump,41.75841803200,-72.70742251940,Newton Street,O,Several years ago
Speed Bump,41.75958058730,-72.70755156290,Newton Street,O,Several years ago
Speed Bump,41.73981585800,-72.70196907180,Nilan Street,O,Several years ago
Speed Bump,41.77121311040,-72.71340574280,Oxford Street,O,Several years ago
Speed Bump,41.77284281900,-72.71282292990,Oxford Street,O,Several years ago
Speed Bump,41.77502700420,-72.68994037270,Sargeant Street,O,Several years ago
Speed Bump,41.77476788720,-72.68879269020,Sargeant Street,O,Several years ago
Speed Bump,41.78465212360,-72.68445329910,Enfield St,O,Several years ago
Speed Bump,41.78804408250,-72.68343830370,Enfield St,O,Several years ago
Speed Bump,41.79051676390,-72.68286226320,Enfield St,O,Several years ago
Speed Bump,41.78198223690,-72.69068165910,Edgewood St,O,Several years ago
Speed Bump,41.73644521110,-72.68546714790,Douglas St,O,Several years ago
Speed Bump,41.74632070750,-72.70466069300,Ellington St,O,Several years ago
Speed Bump,41.74718137050,-72.70485325560,Ellington St,O,Several years ago
Speed Bump,41.77131032460,-72.71041208730,Kenyon St,O,Several years ago
Speed Bump,41.77267426460,-72.71037319380,Kenyon St,O,Several years ago
Speed Bump,41.77262961430,-72.70883900950,Girard Ave,O,Several years ago
Speed Bump,41.77146920850,-72.70880104390,Girard Ave,O,Several years ago
Speed Bump,41.76943906910,-72.70874729880,Girard Ave,O,Several years ago
Speed Bump,41.76958273240,-72.71033099670,Kenyon St,O,Several years ago
Speed Bump,41.76820425710,-72.70871925700,Girard Ave,O,Several years ago
Speed Bump,41.76835035010,-72.71020435550,Kenyon St,O,Several years ago
Speed Bump,41.78516989420,-72.70127996640,Baltimore St,O,Several years ago
Speed Bump,41.78576697120,-72.68639807460,Mansfield St,O,Several years ago
Speed Bump,41.78558028840,-72.69956214840,Adams St,O,Several years ago
Speed Bump,41.78457028690,-72.69938339310,Adams St,O,Several years ago
Speed Bump,41.78270809610,-72.69391298550,Oakland Ter,O,Several years ago
Speed Bump,41.78341502630,-72.69368148730,Oakland Ter,O,Several years ago
Speed Bump,41.73304674680,-72.69391361370,Linnmoore St,O,Several years ago
Speed Bump,41.78584983950,-72.70136435320,Baltimore St,O,Several years ago
Speed Bump,41.74442259840,-72.70906089110,Brookfield Street,P,Oct-18
Speed Bump,41.74695218890,-72.70681991480,Brookfield Street,P,Oct-18
Speed Bump,41.75064457730,-72.70051024660,Brookfield Street,P,Oct-18
Speed Bump,41.74892497940,-72.70483136600,Brookfield Street,P,Oct-18
Speed Bump,41.73397193140,-72.69393404090,Cheshire Street,P,Oct-18
Speed Bump,41.74036041250,-72.68040190050,Bushnell Street,P,Oct-18
Speed Bump,41.74055872140,-72.67894896000,Bushnell Street,P,Oct-18
